Name,Ratio,Time,Size,Parameters,Type
FPC,1.2525014864520514,2651700,131072,-,D
FPC,1.253918042126925,6948700,131072,-,C
FPC,1.253918042126925,2388500,131072,-,D
FPC,1.2611462244383056,11399500,131072,-,C
FPC,1.2611462244383056,3203500,131072,-,D
FPC,1.2569107631460061,11401800,131072,-,C
FPC,1.2569107631460061,1998100,131072,-,D
FPC,1.2622473699078076,6760100,131072,-,C
FPC,1.2622473699078076,3719400,131072,-,D
FPC,1.2613511941422022,6876000,131072,-,C
FPC,1.2613511941422022,4655900,131072,-,D
FPC,1.258090387092921,6442600,131072,-,C
FPC,1.258090387092921,1987300,131072,-,D
FPC,7.16879477798022,548110000,33554432,-,C
FPC,7.16879477798022,299649800,33554432,-,D
FPC,2.0058017165454953,879911300,33554432,-,C
FPC,2.0058017165454953,344909900,33554432,-,D
FPC,2.8099515213177124,738350300,33554432,-,C
FPC,2.8099515213177124,312718600,33554432,-,D
FPC,5.093253783267312,537063200,33554432,-,C
FPC,5.093253783267312,264063600,33554432,-,D
FPC,3.177283004721138,691200000,33554432,-,C
FPC,3.177283004721138,300961000,33554432,-,D
FPC,1.2594166480500308,1234672500,33554432,-,C
FPC,1.2594166480500308,413018900,33554432,-,D
FPC,1.2549343675623952,1233701800,33554432,-,C
FPC,1.2549343675623952,425715000,33554432,-,D
FPC,1.6110379895894869,1008052000,33554432,-,C
FPC,1.6110379895894869,357784500,33554432,-,D
FPC,1.2586960719466072,1235707500,33554432,-,C
FPC,1.2586960719466072,451328600,33554432,-,D
FPC,2.1134182136612454,858891800,33554432,-,C
FPC,2.1134182136612454,314062600,33554432,-,D
FPC,3.8209907659505635,613340400,33554432,-,C
FPC,3.8209907659505635,272223100,33554432,-,D
FPC,2.0141624098832254,880539400,33554432,-,C
FPC,2.0141624098832254,339268400,33554432,-,D
FPC,1.542451777053793,1029948100,33554432,-,C
FPC,1.542451777053793,367238900,33554432,-,D
FPC,3.2154867281136217,663637600,33554432,-,C
FPC,3.2154867281136217,284201700,33554432,-,D
FPC,1.2682390329280933,38723900,524288,-,C
FPC,1.2682390329280933,5729700,524288,-,D
FPC,1.26710018646937,19556500,524288,-,C
FPC,1.26710018646937,5985800,524288,-,D
FPC,1.2775319423597167,19155200,524288,-,C
FPC,1.2775319423597167,5576900,524288,-,D
FPC,1.2737715255672124,18795600,524288,-,C
FPC,1.2737715255672124,5581500,524288,-,D
FPC,1.2785842956270281,18850300,524288,-,C
FPC,1.2785842956270281,5611000,524288,-,D
FPC,1.2693553420205954,23085900,524288,-,C
FPC,1.2693553420205954,9326700,524288,-,D
FPC,1.2644137703357694,23792300,524288,-,C
FPC,1.2644137703357694,8058500,524288,-,D
FPC,1.2751649558532303,22497900,524288,-,C
FPC,1.2751649558532303,11257100,524288,-,D
FPC,1.2719119489531647,23463300,524288,-,C
FPC,1.2719119489531647,7796400,524288,-,D
FPC,1.459186324109694,22128400,524288,-,C
FPC,1.459186324109694,8537300,524288,-,D
FPC,1.2755068941058423,26326100,524288,-,C
FPC,1.2755068941058423,8429000,524288,-,D
FPC,1.2755510285289182,30245000,524288,-,C
FPC,1.2755510285289182,12008200,524288,-,D
FPC,1.2598441174523094,24535000,524288,-,C
FPC,1.2598441174523094,6708200,524288,-,D
FPC,1.2660802331996042,24385000,524288,-,C
FPC,1.2660802331996042,6513100,524288,-,D
FPC,1.274688203042438,24300300,524288,-,C
FPC,1.274688203042438,6282100,524288,-,D
FPC,1.2703723726181528,22768600,524288,-,C
FPC,1.2703723726181528,6394100,524288,-,D
FPC,1.2769234766004707,22179700,524288,-,C
FPC,1.2769234766004707,6455900,524288,-,D
FPC,1.2765752526312828,25833800,524288,-,C
FPC,1.2765752526312828,8913800,524288,-,D
FPC,1.2774738365041411,30775800,524288,-,C
FPC,1.2774738365041411,8540600,524288,-,D
FPC,1.2501457169805321,21737400,524288,-,C
FPC,1.2501457169805321,8516400,524288,-,D
FPC,1.2657732091506073,26475500,524288,-,C
FPC,1.2657732091506073,8926000,524288,-,D
FPC,1.2608890836602284,28210200,524288,-,C
FPC,1.2608890836602284,8733600,524288,-,D
FPC,1.259725725464902,25478600,524288,-,C
FPC,1.259725725464902,8682400,524288,-,D
FPC,1.2609537776770616,25629800,524288,-,C
FPC,1.2609537776770616,8415700,524288,-,D
FPC,1.2555398507380082,25780600,524288,-,C
FPC,1.2555398507380082,8766700,524288,-,D
FPC,1.2553340924327718,27037200,524288,-,C
FPC,1.2553340924327718,8555300,524288,-,D
FPC,1.258983592070746,26441000,524288,-,C
FPC,1.258983592070746,8439600,524288,-,D
FPC,1.257274103127065,30386400,524288,-,C
FPC,1.257274103127065,9141400,524288,-,D
FPC,1.2509995058146317,26005600,524288,-,C
FPC,1.2509995058146317,9301500,524288,-,D
FPC,973.3085808580859,7980300,524288,-,C
FPC,973.3085808580859,3686600,524288,-,D
FPC,973.3085808580859,5531300,524288,-,C
FPC,973.3085808580859,2764600,524288,-,D
FPC,973.3085808580859,6424000,524288,-,C
FPC,973.3085808580859,2767000,524288,-,D
FPC,973.3085808580859,5481100,524288,-,C
FPC,973.3085808580859,2824000,524288,-,D
FPC,1.5761913796835458,22770500,524288,-,C
FPC,1.5761913796835458,7959700,524288,-,D
FPC,1.2831515721094962,26240700,524288,-,C
FPC,1.2831515721094962,8990400,524288,-,D
FPC,1.261110148962055,28814600,524288,-,C
FPC,1.261110148962055,8756100,524288,-,D
FPC,1.2551203889899667,26279300,524288,-,C
FPC,1.2551203889899667,8611800,524288,-,D
FPC,1.2534559959537486,26749500,524288,-,C
FPC,1.2534559959537486,8662600,524288,-,D
FPC,1.2728204574881312,26952000,524288,-,C
FPC,1.2728204574881312,9203500,524288,-,D
FPC,209.47727272727272,202300,8192,-,C
FPC,209.47727272727272,177600,8192,-,D
FPC,209.47727272727272,276900,8192,-,C
FPC,209.47727272727272,205100,8192,-,D
FPC,209.47727272727272,197900,8192,-,C
FPC,209.47727272727272,186600,8192,-,D
FPC,209.47727272727272,251300,8192,-,C
FPC,209.47727272727272,179800,8192,-,D
FPC,209.47727272727272,1989600,8192,-,C
FPC,209.47727272727272,201000,8192,-,D
FPC,209.47727272727272,199400,8192,-,C
FPC,209.47727272727272,198700,8192,-,D
FPC,209.47727272727272,211500,8192,-,C
FPC,209.47727272727272,188200,8192,-,D
FPC,209.47727272727272,208700,8192,-,C
FPC,209.47727272727272,203500,8192,-,D
FPC,209.47727272727272,215600,8192,-,C
FPC,209.47727272727272,196500,8192,-,D
FPC,209.47727272727272,261300,8192,-,C
FPC,209.47727272727272,220400,8192,-,D
FPC,1.254184242754116,2168600,8192,-,C
FPC,1.254184242754116,283700,8192,-,D
FPC,1.2564067611777536,537700,8192,-,C
FPC,1.2564067611777536,256000,8192,-,D
FPC,1.2529907558455682,389000,8192,-,C
FPC,1.2529907558455682,272900,8192,-,D
FPC,1.2555510148481133,383200,8192,-,C
FPC,1.2555510148481133,275000,8192,-,D
