Name,Ratio,Time,Size,Parameters,Type
FPC,1.2697068443351358,222553800,8388608,-,C
FPC,1.2697068443351358,71465201,8388608,-,D
FPC,1.254055301731458,203021900,8388608,-,C
FPC,1.254055301731458,56627700,8388608,-,D
FPC,1.2543626694526078,199764201,8388608,-,C
FPC,1.2543626694526078,57322901,8388608,-,D
FPC,1.2540649671852566,200661400,8388608,-,C
FPC,1.2540649671852566,61729099,8388608,-,D
FPC,1.942224032395423,156675701,8388608,-,C
FPC,1.942224032395423,52008801,8388608,-,D
FPC,1025.1124266782533,54503601,8388608,-,C
FPC,1025.1124266782533,31875000,8388608,-,D
FPC,1.4264025765128987,187032000,8388608,-,C
FPC,1.4264025765128987,54975500,8388608,-,D
FPC,1.2650666931909458,199309299,8388608,-,C
FPC,1.2650666931909458,54168599,8388608,-,D
FPC,1.2570269318434897,212222500,8388608,-,C
FPC,1.2570269318434897,54708800,8388608,-,D
FPC,1.2578536002804357,200378999,8388608,-,C
FPC,1.2578536002804357,58702800,8388608,-,D
FPC,1.2554992703559644,199619099,8388608,-,C
FPC,1.2554992703559644,55263000,8388608,-,D
FPC,1.2632283666511037,201375200,8388608,-,C
FPC,1.2632283666511037,57293599,8388608,-,D
FPC,1.2529793690641648,199701200,8388608,-,C
FPC,1.2529793690641648,57510100,8388608,-,D
FPC,2.703104054719813,118776800,8388608,-,C
FPC,2.703104054719813,41669100,8388608,-,D
FPC,17.907303957100734,57657500,8388608,-,C
FPC,17.907303957100734,34468700,8388608,-,D
FPC,1.2696931780724237,195642500,8388608,-,C
FPC,1.2696931780724237,55575100,8388608,-,D
FPC,1.2570132023092253,199881400,8388608,-,C
FPC,1.2570132023092253,55526000,8388608,-,D
FPC,1.2588872066111292,198435601,8388608,-,C
FPC,1.2588872066111292,58039800,8388608,-,D
FPC,1.264412946466553,196668200,8388608,-,C
FPC,1.264412946466553,54978501,8388608,-,D
FPC,1.2554393100048185,200359800,8388608,-,C
FPC,1.2554393100048185,56185300,8388608,-,D
FPC,1.2543518323452145,198287000,8388608,-,C
FPC,1.2543518323452145,58100199,8388608,-,D
FPC,4.480607284393103,88848500,8388608,-,C
FPC,4.480607284393103,36918400,8388608,-,D
FPC,1.3004236732273136,196713501,8388608,-,C
FPC,1.3004236732273136,54713099,8388608,-,D
FPC,4.951394700322409,84880501,8388608,-,C
FPC,4.951394700322409,36228200,8388608,-,D
FPC,1.567732455761474,168503800,8388608,-,C
FPC,1.567732455761474,50364400,8388608,-,D
FPC,2.016924781101591,139429000,8388608,-,C
FPC,2.016924781101591,50637000,8388608,-,D
FPC,3.4895760342524182,101702800,8388608,-,C
FPC,3.4895760342524182,38490700,8388608,-,D
FPC,1.803515113340017,157391300,8388608,-,C
FPC,1.803515113340017,47249800,8388608,-,D
FPC,1.2620083686484593,197144099,8388608,-,C
FPC,1.2620083686484593,57437400,8388608,-,D
FPC,1.2555410288582518,199297300,8388608,-,C
FPC,1.2555410288582518,55102600,8388608,-,D
FPC,1.2703377930167044,3059500,131072,-,C
FPC,1.2703377930167044,1093001,131072,-,D
FPC,1.2722119648680827,3104900,131072,-,C
FPC,1.2722119648680827,969000,131072,-,D
